City,City_ID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
Sur, 286245, OM, 22.57, 59.53, 73.13, 55, 0, 4.74
Rudnogorsk, 2017378, RU, 57.26, 103.75, 20.39, 97, 50, 6.24
Shelburne, 6145890, CA, 44.08, -80.2, 44.33, 56, 1, 5.82
Constitución, 3893726, CL, -35.33, -72.42, 60.15, 53, 0, 18.07
Khasan, 2039557, RU, 42.43, 130.64, 45.43, 63, 2, 7.83
Saint-Pierre, 935214, RE, -21.34, 55.48, 67.59, 73, 0, 5.82
Umluj, 100926, SA, 25.02, 37.27, 79.9, 61, 0, 5.82
Ostrovnoy, 556268, RU, 68.05, 39.51, 32.4, 92, 99, 8.9
Kathu, 1153035, TH, 7.92, 98.33, 81.09, 94, 75, 1.12
Bowen, 2174444, AU, -20.02, 148.23, 71.6, 94, 4, 5.82
Antofagasta, 3899539, CL, -23.65, -70.4, 62.6, 63, 75, 16.11
Avarua, 4035715, CK, -21.21, -159.78, 75.2, 73, 64, 10.29
Goderich, 5962442, CA, 43.75, -81.72, 46.38, 61, 100, 1.99
Segezha, 497927, RU, 63.74, 34.32, 31.89, 95, 96, 6.2
Chokurdakh, 2126123, RU, 70.63, 147.92, 6.39, 93, 0, 10.36
Bongandanga, 218229, CD, 1.5, 21.05, 72.66, 92, 18, 1.48
Taoudenni, 2450173, ML, 22.68, -3.98, 89.06, 12, 0, 6.49
Nelson, 2186280, NZ, -41.28, 173.28, 61, 88, 100, 1.01
Chui, 3443061, UY, -33.7, -53.46, 73.42, 76, 100, 15.59
Bhuj, 1275812, IN, 23.27, 69.67, 79.7, 49, 0, 4.88
Hithadhoo, 1282256, MV, -0.6, 73.08, 83.07, 71, 22, 5.28
George Town, 1735106, MY, 5.41, 100.34, 77.77, 94, 40, 5.53
Natal, 3394023, BR, -5.79, -35.21, 84.2, 74, 40, 14.99
Longyearbyen, 2729907, SJ, 78.22, 15.64, 33.8, 64, 75, 10.29
Tupik, 2014836, RU, 54.43, 119.93, 29.08, 94, 100, 2.04
Yar-Sale, 1486321, RU, 66.83, 70.83, 12.11, 96, 68, 9.98
Kyren, 2021031, RU, 51.68, 102.14, 22.12, 90, 100, 1.59
Hong Kong, 1819729, HK, 22.29, 114.16, 72.21, 79, 100, 1.99
Port Alfred, 964432, ZA, -33.59, 26.89, 65.73, 81, 86, 8.68
Seoul, 1835848, KR, 37.57, 126.98, 43.5, 100, 1, 0.72
Hermanus, 3366880, ZA, -34.42, 19.23, 61, 79, 97, 1.01
Ginda, 1253628, IN, 30.69, 78.49, 48.65, 62, 0, 5.82
Petropavlovsk-Kamchatskiy, 2122104, RU, 53.05, 158.65, 39.2, 100, 90, 2.24
Broome, 5110365, US, 42.25, -75.83, 50.09, 54, 50, 1.01
Saint George, 5546220, US, 37.1, -113.58, 71.29, 35, 40, 13.87
Saint Paul Harbor, 5866583, US, 57.79, -152.41, 48.2, 87, 90, 19.46
Los Lunas, 5476913, US, 34.81, -106.73, 72.32, 16, 1, 11.41
Lüderitz, 3355672, NA, -26.65, 15.16, 64.98, 55, 65, 27.58
Kamenka, 553766, RU, 51.32, 42.77, 45, 90, 0, 8.88
Port Elizabeth, 964420, ZA, -33.92, 25.57, 62.6, 93, 100, 8.05
Barrow, 5880054, US, 71.29, -156.79, 26.6, 73, 90, 5.82
Nampula, 1033356, MZ, -15.12, 39.27, 75.11, 73, 40, 8.05
